chunk,embedding_index
"Among his many accomplishments, Akhenaten was the first ruler to decree statuary and a temple in honor of his queen instead of only for himself or the gods and used the money which once went to the temples for public works and parks. The power of the clergy declined sharply as that of the central government grew, which seemed to be Akhenaten's goal, but he failed to use his power for the best interest of his people. The Amarna Letters make clear that he was more concerned with his religious reforms than with foreign policy or the needs of the people of Egypt. His reign was followed by his son, the most recognizable Egyptian ruler in the modern day, Tutankhamun, who reigned from c. 1336 - c. 1327 BCE. He was originally named Tutankhaten to reflect the religious beliefs of his father but, upon assuming the throne, changed his name to Tutankhamun to honor the ancient god Amun. He restored the ancient temples, removed all references to his father's single deity, and returned the capital to Thebes. His reign was cut short by his death and, today, he is most famous for the intact grandeur of his tomb, discovered in 1922 CE, which became an international sensation at the time. The greatest ruler of the New Kingdom, however, was Ramesses II (also known as Ramesses the Great, 1279-1213 BCE) who commenced the most elaborate building projects of any Egyptian ruler and who reigned so efficiently that he had the means to do so.",10
"Although the famous Battle of Kadesh of 1274 BCE (between Ramesses II of Egypt and Muwatalli II of the Hittites) is today regarded as a draw, Ramesses considered it a great Egyptian victory and celebrated himself as a champion of the people, and finally as a god, in his many public works. His temple of Abu Simbel (built for his queen Nefertari) depicts the battle of Kadesh and the smaller temple at the site, following Akhenaten's example, is dedicated to Ramesses' favorite queen Nefertari. Under the reign of Ramesses II, the first peace treaty in the world (The Treaty of Kadesh) was signed in 1258 BCE and Egypt enjoyed almost unprecedented affluence as evidenced by the number of monuments built or restored during his reign. Ramesses II's fourth son, Khaemweset (c. 1281 - c. 1225 BCE), is known as the ""First Egyptologist"" for his efforts in preserving and recording old monuments, temples, and their original owner's names. It is largely due to Khaemweset's initiative that Ramesses II's name is so prominent at so many ancient sites in Egypt. Khaemweset left a record of his own efforts, the original builder/owner of the monument or temple, and his father's name as well. Ramesses II became known to later generations as 'The Great Ancestor' and reigned for so long that he outlived most of his children and his wives. In time, all of his subjects had been born knowing only Ramesses II as their ruler and had no memory of another. He enjoyed an exceptionally long life of 96 years, over double the average lifespan of an ancient Egyptian. Upon his death, it is recorded that many feared the end of the world had come as they had known no other pharaoh and no other kind of Egypt.",11
"One of his successors, Ramesses III (1186-1155 BCE), followed his policies but, by this time, Egypt's great wealth had attracted the attention of the Sea Peoples who began to make regular incursions along the coast. The Sea Peoples, like the Hyksos, are of unknown origin but are thought to have come from the southern Aegean area. Between 1276-1178 BCE the Sea Peoples were a threat to Egyptian security. Ramesses II had defeated them in a naval battle early in his reign as had his successor Merenptah (1213-1203 BCE). After Merenptah's death, however, they increased their efforts, sacking Kadesh, which was then under Egyptian control, and ravaging the coast. Between 1180-1178 BCE Ramesses III fought them off, finally defeating them at the Battle of Xois in 1178 BCE. Following the reign of Ramesses III, his successors attempted to maintain his policies but increasingly met with resistance from the people of Egypt, those in the conquered territories, and, especially, the priestly class. In the years after Tutankhamun had restored the old religion of Amun, and especially during the great time of prosperity under Ramesses II, the priests of Amun had acquired large tracts of land and amassed great wealth which now threatened the central government and disrupted the unity of Egypt. By the time of Ramesses XI (1107-1077 BCE), the end of the 20th Dynasty, the Egyptian government had become so weakened by the power and corruption of the clergy that the country again fractured and central administration collapsed, initiating the so-called Third Intermediate Period of Egypt c. 1069-525 BCE. Under the Kushite King Piye (752-722 BCE), Egypt was again unified and the culture flourished, but beginning in 671 BCE, the Assyrians under Esarhaddon began their invasion of Egypt, conquering it by 666 BCE under his successor Ashurbanipal.",12
"Having made no long-term plans for control of the country, the Assyrians left it in ruin in the hands of local rulers and abandoned Egypt to its fate. Egypt rebuilt and refortified, however, and this is the state the country was in when Cambyses II of Persia struck at the Battle of Pelusium in 525 BCE. Knowing the reverence the Egyptians held for cats (who were thought living representations of the popular goddess Bastet), Cambyses II ordered his men to paint cats on their shields and to drive cats, and other animals sacred to the Egyptians, in front of the army toward Pelusium. The Egyptian forces surrendered and the country fell to the Persians. It would remain under Persian occupation until the coming of Alexander the Great in 332 BCE. The effect or remembrance of what Egypt accomplished at the very dawn of history has influence in every nation and every age. 'It is even possible', as Faure has said, 'that Egypt, through the solidarity, the unity, and the disciplined variety of its artistic products, through the enormous duration and the sustained power of its effort, offers the spectacle of the greatest civilization that has yet appeared on the earth.' We shall do well to equal it. (217) Egyptian Culture and history has long held a universal fascination for people; whether through the work of early archeologists in the 19th century CE (such as Champollion who deciphered the Rosetta Stone in 1822 CE) or the famous discovery of the Tomb of Tutankhamun by Howard Carter in 1922 CE. The ancient Egyptian belief in life as an eternal journey, created and maintained by divine magic, inspired later cultures and later religious beliefs.",13
"Much of the iconography and the beliefs of Egyptian religion found their way into the new religion of Christianity and many of their symbols are recognizable today with largely the same meaning. It is an important testimony to the power of the Egyptian civilization that so many works of the imagination, from films to books to paintings even to religious belief, have been and continue to be inspired by its elevating and profound vision of the universe and humanity's place in it. Egypt, one of the world’s oldest civilizations, was unified around 3150 BC by King Narmer. It later came under Persian, Greek, Roman, and Islamic rule before joining the Ottoman Empire in 1517. Controlled by Britain in the late 19th century, it became a republic in 1953. After several political transitions, Abdel Fattah el-Sisi currently leads the country. There is evidence of petroglyphs along the Nile terraces and in desert oases. In the 10th millennium BC, a culture of hunter-gatherers and fishermen was replaced by a grain-grinding culture. Climate changes and/or overgrazing around 6000 BC began to desiccate the pastoral lands of Egypt, forming the Sahara. Early tribal peoples migrated to the Nile River, where they developed a settled agricultural economy and more centralized society. By about 6000 BC, a Neolithic culture had taken root in the Nile Valley. During the Neolithic era, several predynastic cultures developed independently in Upper and Lower Egypt. The Badari culture and the successor Naqada series are generally regarded as precursors to dynastic Egypt. The earliest known Lower Egyptian site, Merimde, predates the Badarian by about seven hundred years. Contemporaneous Lower Egyptian communities coexisted with their southern counterparts for more than two thousand years, remaining culturally distinct, but maintaining frequent contact through trade.",14
"The earliest known evidence of Egyptian hieroglyphic inscriptions appeared during the predynastic period on Naqada III pottery vessels, dated to about 3200 BC. A unified kingdom was formed in 3150 BC by King Menes, leading to a series of dynasties that ruled Egypt for the next three millennia. Egyptian culture flourished during this long period and remained distinctively Egyptian in its religion, arts, language and customs. The first two ruling dynasties of a unified Egypt set the stage for the Old Kingdom period (c. 2700–2200 BC), which constructed many pyramids, most notably the pyramid of Djoser, constructed during the Third Dynasty and the Giza Pyramids, constructed in the Fourth Dynasty. The First Intermediate Period ushered in a time of political upheaval for about 150 years. Stronger Nile floods and stabilization of government, however, brought back renewed prosperity for the country in the Middle Kingdom c. 2040 BC, reaching a peak during the reign of Pharaoh Amenemhat III. A second period of disunity heralded the arrival of the first foreign ruling dynasty in Egypt, that of the Semitic-speaking Hyksos. The Hyksos migrants took over much of Lower Egypt around 1650 BC and founded a new capital at Avaris. They were driven out by an Upper Egyptian force led by Ahmose I, who founded the Eighteenth Dynasty and relocated the capital from Memphis to Thebes. The New Kingdom (c. 1550–1070 BC) began with the Eighteenth Dynasty, marking the rise of Egypt as an international power that expanded during its greatest extension to an empire from Syria to Upper Nubia. This period is noted for some of the most well known Pharaohs, including Hatshepsut, Thutmose III, Akhenaten and his wife Nefertiti, Tutankhamun and Ramesses II. The first historically attested expression of monotheism came during this period as Atenism, although some[who?]",15
"consider Atenism to be a form of monolatry rather than of monotheism. Frequent contacts with other nations brought new ideas to the New Kingdom. The country was later ruled and invaded by Libyans, Nubians and Assyrians, but native Egyptians eventually drove them out and regained control of their country. In the sixth century BC, the Achaemenid Empire conquered Egypt. The entire Twenty-seventh Dynasty of Egypt, from 525 BC to 402 BC, save for Petubastis III and possibly Psammetichus IV, was an entirely Persian-ruled period, with the Achaemenid kings being granted the title of pharaoh. Amyrtaeus' successful rebellion ended the first Achaemenid rule and inaugurated Egypt's last significant phase of independence under native rulers. The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch. It fell to the Persians again in 343 BC after the last native Pharaoh, King Nectanebo II, was defeated in battle. The Thirty-first Dynasty of Egypt, also known as the Second Egyptian Satrapy, was effectively a short-living province of the Achaemenid Empire between 343 BC to 332 BC. After an interval of independence, during which three indigenous dynasties reigned (the 28th, 29th and 30th dynasty), Artaxerxes III (358–338 BC) reconquered the Nile valley for a brief second period (343–332 BC), which is called the Thirty-first Dynasty of Egypt, thus starting another period of pharaohs of Persian origin. A team led by Johannes Krause managed the first reliable sequencing of the genomes of 90 mummified individuals in 2017. Whilst not conclusive, because of the non-exhaustive time frame and restricted location that the mummies represent, their study nevertheless showed that these Ancient Egyptians ""closely resembled ancient and modern Near Eastern populations, especially those in the Levant, and had almost no DNA from sub-Saharan Africa.",16
"What's more, the genetics of the mummies remained remarkably consistent even as different powers—including Nubians, Greeks, and Romans—conquered the empire"". The Ptolemaic Kingdom was a powerful Hellenistic state extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia. Alexandria became the capital city and a center of Greek culture and trade. To gain recognition by the native Egyptian populace, they named themselves as the successors to the Pharaohs. The later Ptolemies took on Egyptian traditions, had themselves portrayed on public monuments in Egyptian style and dress, and participated in Egyptian religious life. The last ruler from the Ptolemaic dynasty was Cleopatra, who committed suicide following the burial of her lover Mark Antony, who had died in her arms (from a self-inflicted stab wound) after Augustus had captured Alexandria and her mercenary forces had fled. The Ptolemies faced rebellions of native Egyptians, often caused by an unwanted regime, and were involved in foreign and civil wars that led to the decline of the kingdom and its annexation by Rome. Nevertheless, Hellenistic culture continued to thrive in Egypt well after the Muslim conquest. The native Egyptian/Coptic culture continued to exist as well (the Coptic language itself was Egypt's most widely spoken language until at least the 10th century). Egypt quickly became the Empire's breadbasket supplying the greater portion of the Empire's grain in addition to flax, papyrus, glass and many other finished goods. The city of Alexandria became a key trading outpost for the Roman Empire (by some accounts, the most important for a time). Shipping from Egypt regularly reached India and Ethiopia among other international destinations. It was also a leading (perhaps the leading) scientific and technological center of the Empire.",17
"Scholars such as Ptolemy, Hypatia, and Heron broke new ground in astronomy, mathematics, and other disciplines. Culturally, the city of Alexandria at times rivaled Rome in its importance. Christianity reached Egypt relatively early in the evangelist period of the first century (traditionally credited to Mark the Evangelist). Alexandria, Egypt and Antioch, Syria quickly became the leading centers of Christianity. Diocletian's reign marked the transition from the classical Roman to the Late antique/Byzantine era in Egypt, when a great number of Egyptian Christians were persecuted. The New Testament had by then been translated into Egyptian. After the Council of Chalcedon in AD 451, a distinct Egyptian Coptic Church was firmly established. Sasanian Egypt (known in Middle Persian sources as Agiptus) refers to the brief rule of Egypt and parts of Libya by the Sasanian Empire, which lasted from 619 to 629, until the Sasanian rebel Shahrbaraz made an alliance with the Byzantine emperor Heraclius and had control over Egypt returned to him. The Byzantines were able to regain control of the country after a brief Persian invasion early in the 7th century, until 639–642, when Egypt was invaded and conquered by the Arab Islamic Empire. The final loss of Egypt was of incalculable significance to the Byzantine Empire, which had relied on Egypt for many agricultural and manufactured goods. When they defeated the Byzantine armies in Egypt, the Arabs brought Sunni Islam to the country. Early in this period, Egyptians began to blend their new faith with their Christian traditions as well as other indigenous beliefs and practices, leading to various Sufi orders that have flourished to this day. These earlier rites had survived the period of Coptic Christianity.",18
"[page needed] Muslim rulers nominated by the Islamic Caliphate remained in control of Egypt for the next six centuries, with Cairo as the seat of the Caliphate under the Fatimids. [dubious – discuss] With the end of the Kurdish Ayyubid dynasty, the Mamluks, a Turco-Circassian military caste, took control about AD 1250. By the late 13th century, Egypt linked the Red Sea, India, Malaya, and East Indies. The Greek and Coptic languages and cultures went into a steep decline in favor of Arabic culture (though Coptic managed to last as a spoken language until the 17th century and remains a liturgical language today). Pyramids of Giza, three 4th-dynasty (c. 2575–c. 2465 bce) pyramids erected on a rocky plateau on the west bank of the Nile River near Al-Jīzah (Giza) in northern Egypt. In ancient times they were included among the Seven Wonders of the World. The ancient ruins of the Memphis area, including the Pyramids of Giza, Ṣaqqārah, Dahshūr, Abū Ruwaysh, and Abū Ṣīr, were collectively designated a UNESCO World Heritage site in 1979. The designations of the pyramids—Khufu, Khafre, and Menkaure—correspond to the kings for whom they were built. The northernmost and oldest pyramid of the group was built for Khufu (Greek: Cheops), the second king of the 4th dynasty. Called the Great Pyramid, it is the largest of the three, the length of each side at the base averaging 755.75 feet (230 meters) and its original height being 481.4 feet (147 meters). The middle pyramid was built for Khafre (Greek: Chephren), the fourth of the eight kings of the 4th dynasty; the structure measures 707.75 feet (216 meters) on each side and was originally 471 feet (143 meters) high.",19
"The southernmost and last pyramid to be built was that of Menkaure (Greek: Mykerinus), the fifth king of the 4th dynasty; each side measures 356.5 feet (109 meters), and the structure’s completed height was 218 feet (66 meters). All three pyramids were plundered both internally and externally in ancient and medieval times. Thus, the grave goods originally deposited in the burial chambers are missing, and the pyramids no longer reach their original heights because they have been almost entirely stripped of their outer casings of smooth white limestone; the Great Pyramid, for example, is now only 451.4 feet (138 meters) high. That of Khafre retains the outer limestone casing only at its topmost portion. Constructed near each pyramid was a mortuary temple, which was linked via a sloping causeway to a valley temple on the edge of the Nile floodplain. Also nearby were subsidiary pyramids used for the burials of other members of the royal family. The Mamluks continued to govern the country until the conquest of Egypt by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The mid-14th-century Black Death killed about 40% of the population of Egypt. After the 15th century, the Ottoman invasion pushed the Egyptian system into decline. The defensive militarization damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of the plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Egypt suffered six famines between 1687 and 1731. The 1784 famine cost it roughly one-sixth of its population. The brief French invasion of Egypt led by Napoleon Bonaparte began in 1798. The campaign eventually led to the discovery of the Rosetta Stone, creating the field of Egyptology.",20
"Despite early victories and an initially successful expedition into Syria, Napoleon and his Armée d'Orient were eventually defeated and forced to withdraw, especially after suffering the defeat of the supporting French fleet at the Battle of the Nile. The expulsion of the French in 1801 by Ottoman, Mamluk, and British forces was followed by four years of anarchy in which Ottomans, Mamluks, and Albanians — who were nominally in the service of the Ottomans – wrestled for power. Out of this chaos, the commander of the Albanian regiment, Muhammad Ali (Kavalali Mehmed Ali Pasha) emerged as a dominant figure and in 1805 was acknowledged by the Sultan in Istanbul as his viceroy in Egypt; the title implied subordination to the Sultan but this was in fact a polite fiction: Ottoman power in Egypt was finished and Muhammad Ali, an ambitious and able leader, established a dynasty that was to rule Egypt until the revolution of 1952. After 1882 the dynasty became a British puppet. Muhammad Ali's primary focus was military: he annexed Northern Sudan (1820–1824), Syria (1833), and parts of Arabia and Anatolia; but in 1841 the European powers, fearful lest he topple the Ottoman Empire itself, forced him to return most of his conquests to the Ottomans. He kept the Sudan and his title to Egypt was made hereditary. A more lasting result of his military ambition is that it required him to modernize the country. Eager to adopt the military (and therefore industrial) techniques of the great powers, he sent students to the West and invited training missions to Egypt. He built industries, a system of canals for irrigation and transport, and reformed the civil service. Khufu’s pyramid is perhaps the most colossal single building ever erected on the planet.",21
"Its sides rise at an angle of 51°52′ and are accurately oriented to the four cardinal points of the compass. The Great Pyramid’s core is made of yellowish limestone blocks, the outer casing (now almost completely gone) and the inner passages are of finer light-colored limestone, and the interior burial chamber is built of huge blocks of granite. Approximately 2.3 million blocks of stone were cut, transported, and assembled to create the 5.75-million-ton structure, which is a masterpiece of technical skill and engineering ability. The internal walls as well as those few outer-casing stones that still remain in place show finer joints than any other masonry constructed in ancient Egypt. The entrance to the Great Pyramid is on the north side, about 59 feet (18 meters) above ground level. A sloping corridor descends from it through the pyramid’s interior masonry, penetrates the rocky soil on which the structure rests, and ends in an unfinished underground chamber. From the descending corridor branches an ascending passageway that leads to a room known as the Queen’s Chamber and to a great slanting gallery that is 151 feet (46 meters) long. At the upper end of this gallery, a long and narrow passage gives access to the burial room proper, usually termed the King’s Chamber. This room is entirely lined and roofed with granite. From the chamber two narrow shafts run obliquely through the masonry to the exterior of the pyramid; it is not known whether they were designed for a religious purpose or were meant for ventilation. Above the King’s Chamber are five compartments separated by massive horizontal granite slabs; the likely purpose of these slabs was to shield the ceiling of the burial chamber by diverting the immense thrust exerted by the overlying masses of masonry.",22
